Resumen generado por la IA,AI keywords,País,URL,Instituciones,Destinatarios,Fecha de cierre,Publicar,Geolocation,Latitude,Longitude,Nombre
"Becas de grado en Sharda University, India -> Grado en Sharda Univ.","Becas De Grado, India, Sharda University",India,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-grado-en-sharda-university-india,Sharda University,Grado,,Yes,"28.6139, 77.2090",286.139,772.090,"Becas de grado en Sharda University, India"
Grado y maestría en Chandigarh University en India,"Becas De Grado, Becas de posgrado, Chandigarh University",India,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-grado-y-maestria-en-chandigarh-university-en-india,Chandigarh University,"Grado, Posgrado",,No,"28.6139, 77.2090.",286.139,77.2090.,Becas de grado y maestría en Chandigarh University en India
Akademie Schloss Solitude en Alemania,"Alemania, Becas en la Akademie Schloss Solitude, Residencia de bailarines",Alemania,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-en-la-akademie-schloss-solitude-para-residencia-de,Akademie Schloss Solitude,Artistas,,No,"51.16569, 10.45152",5.116.569,1.045.152,Becas en la Akademie Schloss Solitude para residencia de bailarines en Alemania
Uni Macau HK,"Becas de Maestría, Becas de doctorado, Universidad de Macau",China,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-maestria-y-de-doctorado-en-la-universidad-de-macau,Universidad de Macau,Posgrado,,Yes,"39.9042, 116.4074",399.042,1.164.074,"Becas de maestría y de doctorado en la Universidad de Macau en Hong Kong, China"
Smart Loire Valley,Becas del Smart Loire Valley Programme en Francia,Francia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-smart-loire-valley-programme-en-francia,Smart Loire Valley Programme,Posgrado,,Yes,"41.9028, 12.4964",419.028,12.4964,Becas del Smart Loire Valley Programme en Francia
IBEREX MCyD España,"Becas de estudio, Becas para artistas, España",España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-programa-iberex-del-ministerio-de-cultura-y,Ministerio de Cultura y Deporte de España,"Grado, Posgrado, Artistas",,Yes,"40.41678, -3.70379.",4.041.678,-3.70379.,Becas del Programa IBEREX del Ministerio de Cultura y Deporte de España
MAEC-AECID en España,Becas en España,España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-maec-aecid-en-espana,MAEC-AECID,Posgrado,,Yes,"41.3851, 2.1734",413.851,2.1734,Becas MAEC-AECID en España
"Becas doctorales Frederick Douglass en Univ. Howard, EE.UU.","Becas doctorales, Estados Unidos, Universidad Howard",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-doctorales-frederick-douglass-en-la-universidad-howard,Universidad Howard,Posgrado,,Yes,"38.90719, -77.03738.",3.890.719,-77.03738.,"Becas doctorales Frederick Douglass en la Universidad Howard, Estados Unidos"
EEA-SS Francia,"Artistas, Becas para artistas, Escuela de Estudios Avanzados en Ciencias Sociales en Francia",Francia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-para-artistas-en-la-escuela-de-estudios-avanzados-en,Escuela de Estudios Avanzados en Ciencias Sociales en Francia,Artistas,,Yes,"48.8566, 2.3522.",488.566,2.3522.,Becas para artistas en la Escuela de Estudios Avanzados en Ciencias Sociales en Francia
Investigación de la colección de arte latinoamericano del MoMA en Estados Unidos,,Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-para-investigar-la-coleccion-de-arte-latinoamericano,MoMA (Museum of Modern Art),No especifica,,No,"41.8781, -87.6298",418.781,-876.298,Becas para investigar la colección de arte latinoamericano del MoMA en Estados Unidos
Curso de alta formación profesional artística y musical,,Italia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-para-el-curso-de-alta-formacion-profesional-artistica,Gobierno de Italia,Artistas,,No,"41.9028, 12.4964",419.028,12.4964,Becas para el curso de alta formación profesional artística y musical del Gobierno de Italia
Programa de Cooperación Bilateral CONICET-CNR en Italia,,Italia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-programa-de-cooperacion-bilateral-conicet-cnr-en,CONICET-CNR,Posgrado,,No,"41.9028, 12.4964",419.028,12.4964,Becas del Programa de Cooperación Bilateral CONICET-CNR en Italia
"""Séjour Culture"" en Francia",,Francia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-para-el-programa-sejour-culture-en-francia,"Programa ""Séjour Culture"" en Francia",Artistas,,No,"48.8566, 2.3522",488.566,2.3522,"Becas para el Programa ""Séjour Culture"" en Francia"
Mitacs Elevate en Canadá,,Canadá,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-mitacs-elevate-en-canada,Mitacs Elevate,"Grado, Posgrado",,No,"45.42153, -75.69719",4.542.153,-7.569.719,Becas Mitacs Elevate en Canadá
Agencia Chilena de Cooperación Internacional para el Desarrollo en Chile,,Chile,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-maestria-de-la-agencia-chilena-de-cooperacion,Agencia Chilena de Cooperación Internacional para el Desarrollo,Posgrado,,No,"-33.44889, -70.66927",-3.344.889,-7.066.927,Becas de la Agencia Chilena de Cooperación Internacional para el Desarrollo en Chile
Posgrado en la Universidad Hangyang en Corea del Sur,"Becas de posgrado, Corea del Sur, Universidad Hangyang",Corea del Sur,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-posgrado-en-la-universidad-hangyang-en,Universidad Hangyang,Posgrado,,No,"37.5665, 126.9780.",375.665,126.9780.,Becas de posgrado en la Universidad Hangyang en Corea del Sur
Grado del Gobierno de Hungría,,Hungría,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/grado-gobierno-hungria,Gobierno de Hungría,Grado,,No,"47.4979, 19.0402",474.979,190.402,Becas de grado del Gobierno de Hungría
Gobierno de Hungría - Posgrado en Hungría,,Hungría,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/posgrado-gobierno-hungria,Gobierno de Hungría,Posgrado,,No,"47.4979, 19.0402",474.979,190.402,"Becas de maestría, especialización y doctorado del Gobierno de Hungría"
Cursos de verano en Hungría para artistas,,Hungría,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-estatales-bilaterales-para-cursos-de-verano,Hungría,"Grado, Posgrado, Artistas",,No,"47.4979, 19.0402",474.979,190.402,Becas estatales bilaterales para cursos de verano en Hungría
Curso de Idioma húngaro del Gobierno de Hungría,,Hungría,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/curso-idioma-hungaro-hungria,Gobierno de Hungría,"Grado, Posgrado",,No,"47.4979, 19.0402",474.979,190.402,Becas para Curso de Idioma húngaro del Gobierno de Hungría
"Estudios de grado en la Universidad de Lingnan en Hong Kong, China","Becas para estudios de grado, China, Hong Kong, Universidad de Lingnan",China,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-para-estudios-de-grado-en-la-universidad-de,Universidad de Lingnan,Grado,,No,"31.2304, 121.4737",312.304,1.214.737,"Becas para estudios de grado en la Universidad de Lingnan en Hong Kong, China"
"Universidad de Tongji en Shanghái, China","Becas De Grado, Posgrado, Universidad de Tongji en Shanghái",China,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/maestria-ambiental-china,Universidad de Tongji en Shanghái,Posgrado,,No,"39.9042, 116.4074.",399.042,116.4074.,"Becas de grado y posgrado de la Universidad de Tongji en Shanghái, China"
Investigación sobre Rutas de la Seda en China,"Becas UNESCO, China, Investigación Rutas de la Seda",China,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-unesco-para-investigacion-sobre-rutas-de-la,UNESCO,Posgrado,,No,"39.90420, 116.40740",3.990.420,11.640.740,Becas UNESCO para investigación sobre Rutas de la Seda en China
Movilidad de músicos en Iberoamérica,,Iberoamérica,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-ibermusicas-de-apoyo-la-movilidad-de-musicos,Becas Ibermúsicas,Artistas,,No,"-34.60372, -58.38159",-3.460.372,-5.838.159,Becas Ibermúsicas de apoyo a la movilidad de músicos en Iberoamérica
Trabajadores de museos en Iberoamérica,,Iberoamérica,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-ibermuseos-para-trabajadores-de-museos-en,Becas Ibermuseos,No especifica,,No,"-34.6037, -58.3816",-346.037,-583.816,Becas Ibermuseos para trabajadores de museos en Iberoamérica
Coproducción de artes escénicas en Iberoamérica,,Iberoamérica,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-iberescena-para-coproduccion-de-artes,Becas Iberescena,Artistas,,No,"-25.2637, -57.5759",-252.637,-575.759,Becas Iberescena para coproducción de artes escénicas entre países de Iberoamérica
"GobTur Grado, Máster, Doctorado","Becas De Grado, maestría y doctorado del Gobierno de Turquía",Turquía,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/maestria-turquia,Gobierno de Turquía,Posgrado,,Yes,"41.0082, 28.9784",410.082,289.784,"Becas de grado, maestría y doctorado del Gobierno de Turquía"
Estancias de investigación en el Museo Reina Sofía en España,,España,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-para-estancias-de-investigacion-en-el-museo,Museo Reina Sofía,"Posgrado, Artistas",,No,"41.390205, 2.154007",41.390.205,2.154.007,Becas para estancias de investigación en el Museo Reina Sofía en España
Estudiantes avanzados de lengua japonesa en Japón,,Japón,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-para-estudiantes-avanzados-de-lengua-japonesa,Nihongo Nihonbunka,"Grado, Posgrado",,No,"35.6895, 139.6917",356.895,1.396.917,Becas para estudiantes avanzados de lengua japonesa “Nihongo Nihonbunka” en Japón
Posgrado en Japón,"Becas de posgrado, Kenkyuryugaku",Japón,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/posgrado-kenkyuryugaku-japon,Japón,Posgrado,,No,"35.6895, 139.6917",356.895,1.396.917,Becas de posgrado “Kenkyuryugaku” en Japón
Becas técnicas en Japón,"Becas Técnicas, Japón, Senshugakko",Japón,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-tecnicas-senshugakko-en-japon,"Becas técnicas ""Senshugakko"" en Japón",No especifica,,No,"35.6895, 139.6917",356.895,1.396.917,Becas técnicas “Senshugakko” en Japón
Akademie Schloss Solitude en Alemania,"Alemania, Becas de investigación, Residencia para artistas",Alemania,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-para-residencias-artisticas-y-cientificas-en,Akademie Schloss Solitude,Artistas,,No,"51.16569, 10.45152",5.116.569,1.045.152,Becas para residencias artísticas y científicas en la Akademie Schloss Solitude en Alemania
"Estudiar idioma indonesio, arte y cultura en Indonesia",,Indonesia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-darmasiswa-para-estudiar-idioma-indonesio,Becas Darmasiswa,No especifica,,No,"-6.2088, 106.8456",-62.088,1.068.456,"Becas Darmasiswa para estudiar idioma indonesio, arte y cultura en Indonesia"
Consejo Indio Relaciones Culturales,,India,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-del-consejo-indio-para-las-relaciones,Consejo Indio para las Relaciones Culturales,Posgrado,,No,"28.6139, 77.2090.",286.139,77.2090.,Becas del Consejo Indio para las Relaciones Culturales en India
Cursos ITEC en India,,India,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-itec-para-profesionales-del-sector-publico-en,ITEC (Indian Technical and Economic Cooperation),No especifica,,No,"28.6139, 77.2090.",286.139,77.2090.,Programa de cursos ITEC en India
Gob. Rumania,"Becas De Grado, maestría y doctorado del Gobierno de Rumania",Rumania,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-grado-maestria-y-doctorado-del-gobierno-de,Gobierno de Rumania,Posgrado,,Yes,"44.4268, 26.1025.",444.268,26.1025.,"Becas de grado, maestría y doctorado del Gobierno de Rumania"
Movilidad para estudiantes de la Universidad de las Artes en diversos países,,Múltiples destinos,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/becas-de-movilidad-para-estudiantes-de-la,Universidad de las Artes,"Grado, Posgrado",,No,"-34.6037, -58.3816",-346.037,-583.816,Becas de movilidad para estudiantes de la Universidad de las Artes en diversos países
Premio IILA-Fotografía,,Italia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/premio-iila-fotografia-en-italia,IILA-Fotografía en Italia,Artistas,,No,"41.9028, 12.4964",419.028,12.4964,Premio IILA-Fotografía en Italia
Gobierno de Italia,Becas De Doctorado del Gobierno de Italia,Italia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-doctorado-del-gobierno-de-italia,Gobierno de Italia,Posgrado,,No,"41.9028, 12.4964",419.028,12.4964,Becas de doctorado del Gobierno de Italia
Ministerio de Capital Humano-DAAD para posgrados en Alemania,,Alemania,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/alearg-posgrados-alemania,Ministerio de Capital Humano-DAAD,Posgrado,,No,"52.5200, 13.4050.",525.200,13.4050.,Becas ALEARG Ministerio de Capital Humano-DAAD para posgrados en Alemania
Movilidad Académica MARCA,"Becas De Grado, Becas de posgrado, Becas externas",América Latina y el Caribe,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/cemic-marca-latinoamerica,Programa de Movilidad Académica MARCA en América Latina,"Grado, Posgrado",,Yes,The latitude and longitude coordinates for the capital city of a country in Latin America and the Caribbean are not specified in the given document.,The latitude and longitude coordinates for the capital city of a country in Latin America and the Caribbean are not specified in the given document.,The latitude and longitude coordinates for the capital city of a country in Latin America and the Caribbean are not specified in the given document.,Programa de Movilidad Académica MARCA en América Latina
DAAD Alemania,,Alemania,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/daad-doctorado-alemania,DAAD,Posgrado,,No,"51.1657, 10.4515",511.657,10.4515,Becas DAAD de doctorado en Alemania
DAAD Estudio Artistas Alemania,"Artistas, Becas de estudio, Grado, Posgrado",Alemania,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/daad-viajes-estudio-alemania,DAAD,"Grado, Posgrado, Artistas",,Yes,"51.16569, 10.45152",5.116.569,1.045.152,Becas DAAD para viajes de estudio de estudiantes extranjeros a Alemania
Grado y Posgrado RMIT en Australia,,Australia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/grado-posgrado-rmit-australia,RMIT,"Grado, Posgrado",,No,"-37.8136, 144.9631",-378.136,1.449.631,Becas de grado y posgrado RMIT de Excelencia Internacional en Australia
Oportunidad en Australia para artistas,"Becas en Australia, Oportunidad para artistas, Universidad de Deakin",Australia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/latinoamerica-deakin-australia,Universidad de Deakin,Posgrado,,No,"-37.8136, 144.9631",-378.136,1.449.631,Becas Latinoamérica en la Universidad de Deakin en Australia
Grado en la Universidad de Montreal en Canadá,,Canadá,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/grado-maestria-y-doctorado-universidad-montreal-canada,,Posgrado,,No,"45.42153, -75.69719.",4.542.153,-75.69719.,"Becas de grado, maestría y doctorado en la Universidad de Montreal en Canadá"
Estudiantes-Convenio de Grado en Brasil,,Brasil,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/estudiantes-grado-brasil,Programa de Estudiantes-Convenio de Grado en Brasil,Grado,,No,"-15.7767, -47.8787",-157.767,-478.787,Becas del Programa de Estudiantes-Convenio de Grado en Brasil
"Becas ""Saint-Exupéry"" Francia","Becas Saint-Exupéry, Becas de investigación doctoral, Becas en Francia",Francia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/saint-exupery-investigacion-doctoral-francia,Ministerio de Capital Humano-Embajada de Francia,Posgrado,,Yes,"48.8566, 2.3522.",488.566,2.3522.,"Becas ""Saint-Exupéry"" Ministerio de Capital Humano-Embajada de Francia para investigación doctoral en Francia"
GobSuiza Posgrado,"Becas de posgrado, Gobierno de Suiza, Investigación",Suiza,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-posgrado-e-investigacion-del-gobierno-de-suiza,Gobierno de Suiza,Posgrado,,Yes,"47.3769, 8.5417",473.769,8.5417,Becas de posgrado e investigación del Gobierno de Suiza
"Investigación Posdoctoral ""Ulam"" en Polonia",,Polonia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/posdoctoral-ulam-polonia,"Programa de Investigación Posdoctoral ""Ulam""",Posdoctoral,,No,"52.22977, 21.01178.",5.222.977,21.01178.,"Becas para el Programa de Investigación Posdoctoral ""Ulam"" en Polonia"
Marie Curie UE (Indiv. Fellow.),"Marie Curie, Posgrado, Unión Europea",Unión Europea,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/marie-curie-ue-individual-fellowships,Marie Curie,Posgrado,,Yes,"41.9028, 12.4964",419.028,12.4964,Becas Marie Curie en la Unión Europea (Individual Fellowships)
Intercambio de personal de investigación o innovación,,Unión Europea,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/marie-curie-ue-staff-exchange,Marie Skłodowska-Curie,Posgrado,,No,"50.85045, 4.34878.",5.085.045,4.34878.,Becas Marie Skłodowska-Curie para intercambio de personal de investigación o innovación en la Unión Europea
COFUND de Marie Skłodowska-Curie,,Unión Europea,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/marie-curie-ue-redes,Marie Skłodowska-Curie,Posgrado,,No,"50.85045, 4.34878.",5.085.045,4.34878.,Fondos COFUND de Marie Skłodowska-Curie de cofinanciación de programas doctorales y posdoctorales con la Unión Europea
Investigaciones cortas en Alemania,,Alemania,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-alearg-para-investigaciones-cortas-en-alemania,Ministerio de Capital Humano-DAAD,Posgrado,,No,"52.52000, 13.40500",5.252.000,1.340.500,Becas ALEARG Ministerio de Capital Humano-DAAD para investigaciones cortas en Alemania
"Bilat. Maestría, Doctorado e Idioma Min. Cap. Humano-CSC","Becas de Maestría, Becas de doctorado, Becas en China",China,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-bilaterales-ministerio-de-educacion-china-scholarship,Ministerio de Capital Humano-China Scholarship Council,Posgrado,,Yes,"39.9042, 116.4074.",399.042,116.4074.,"Becas bilaterales de maestría, doctorado e idioma Ministerio de Capital Humano-China Scholarship Council para argentinos en China"
Investigaciones largas en Alemania,,Alemania,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-alearg-para-investigaciones-largas-en-alemania,Ministerio de Capital Humano-DAAD,Posgrado,,No,"51.16569, 10.45152",5.116.569,1.045.152,Becas ALEARG Ministerio de Capital Humano-DAAD para investigaciones largas en Alemania
Movilidad de Profesorado Argentino en España,"Becas de Movilidad, España, Profesorado Argentino",España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-movilidad-de-profesorado-argentino-en-espana,Ministerio de Capital Humano-Fundación Carolina,No especifica,,No,"41.40338, 2.17403",4.140.338,217.403,Becas de Movilidad de Profesorado Argentino en España Ministerio de Capital Humano-Fundación Carolina
Ministerio de Capital Humano-Comisión Fulbright para investigación en Estados Unidos,,Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-ministerio-de-educacion-fulbright-de-investigacion-en,Ministerio de Capital Humano-Comisión Fulbright,Posgrado,,No,"38.9072, -77.0379.",389.072,-77.0379.,Becas Ministerio de Capital Humano-Comisión Fulbright para investigación doctoral o posdoctoral en Estados Unidos
Ministerio de Capital Humano-Gobierno de Italia para argentinos en Italia,,Italia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-ministerio-de-educacion-gobierno-de-italia-para,Ministerio de Capital Humano-Gobierno de Italia,Posgrado,,No,"41.9028, 12.4964",419.028,12.4964,Becas Ministerio de Capital Humano-Gobierno de Italia para argentinos en Italia
Integración Regional para argentinos en Latinoamérica,"Argentina, Becas de Integración Regional, Ministerio de Capital Humano",América Latina y el Caribe,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-integracion-regional-del-ministerio-de-educacion,Ministerio de Capital Humano,"Grado, Posgrado",,No,"-34.6037, -58.3816",-346.037,-583.816,Becas de Integración Regional del Ministerio de Capital Humano para argentinos en Latinoamérica
Excelencia Ministerio de Capital Humano-Gobierno de México para argentinos,,México,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-excelencia-ministerio-de-educacion-gobierno-de,Ministerio de Capital Humano-Gobierno de México,"Grado, Posgrado",,No,"19.43260, -99.13320",1.943.260,-9.913.320,Becas de Excelencia Ministerio de Capital Humano-Gobierno de México para argentinos
UC Cork en Irlanda,"Becas de la University College Cork en Irlanda, Irlanda, University College Cork",Irlanda,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-la-university-college-cork-en-irlanda,University College Cork,No especifica,,Yes,"53.3498, -6.2603",533.498,-62.603,Becas de la University College Cork en Irlanda
CONACYT Nacionales en México,,México,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-conacyt-nacionales-en-mexico,CONACYT,Posgrado,,No,"19.43261, -99.13321",1.943.261,-9.913.321,Becas CONACYT Nacionales en México
Asistentes de idioma argentinos en Francia,,Francia,https://www.argentina.gob.ar/educacion/campusargentinaglobal/becas-extranjero/ministerio-gobiernofrancia,Ministerio de Capital Humano-Gobierno de Francia,No especifica,,No,"48.8566, 2.3522.",488.566,2.3522.,Becas Ministerio de Capital Humano-Gobierno de Francia para asistentes de idioma argentinos en Francia
"Univ. degli Studi di Salerno, Italia","Becas de Maestría, Italia, Università degli Studi di Salerno",Italia,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-maestria-de-la-universita-degli-studi-di-salerno,Università degli Studi di Salerno,Posgrado,,Yes,"41.9028, 12.4964",419.028,12.4964,"Becas de maestría de la Università degli Studi di Salerno, Italia"
IJLAM en EE.UU.,"Becas de la Iniciativa Jóvenes Líderes de las Américas en Estados Unidos, Estados Unidos de América, Grado, Iniciativa Jóvenes Líderes de las Américas, Posgrado",Estados Unidos de América,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-la-iniciativa-jovenes-lideres-de-las-americas-en,Iniciativa Jóvenes Líderes de las Américas,"Grado, Posgrado",,No,"38.90719, -77.03738",3.890.719,-7.703.738,Becas de la Iniciativa Jóvenes Líderes de las Américas en Estados Unidos
Fundación Santander en España,"Becas en España, Fundación Santander",España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-la-fundacion-santander-en-espana,Fundación Santander,No especifica,,Yes,"41.40338, 2.17403",4.140.338,217.403,Becas de la Fundación Santander en España
Becas Galicia,,España,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-de-estudios-universitarios-de-la-comunidad-autonoma-de,Comunidad Autónoma de Galicia,"Grado, Posgrado",,No,"41.40338, 2.17403",4.140.338,217.403,"Becas de estudios universitarios de la Comunidad Autónoma de Galicia, España"
Líderes Emergentes en las Américas Canadá,,Canadá,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-del-programa-de-lideres-emergentes-en-las-americas-en,Programa de Líderes Emergentes en las Américas,"Grado, Posgrado",,No,"45.42153, -75.69812.",4.542.153,-75.69812.,Becas del Programa de Líderes Emergentes en las Américas en Canadá
Becas posdoc Marie Skłodowska-Curie UE,"Marie Skłodowska-Curie, Posgrado",Unión Europea,https://www.argentina.gob.ar/educacion/campusglobal/becas-extranjero/becas-marie-curie-en-la-union-europea-programas-regionales,Marie Skłodowska-Curie,Posgrado,,Yes,"50.85045, 4.34878.",5.085.045,4.34878.,Becas posdoctorales Marie Skłodowska-Curie en la Unión Europea
