Resumen generado por la IA,AI keywords,País,URL,Instituciones,Destinatarios,Fecha de cierre,Publicar,Geolocation,Latitude,Longitude,Nombre,Entidad,Nueva?,Related 146 Oportunidades,Rollup,Total de nuevas
seorganiza.artista,,,https://www.instagram.com/seorganiza.artista/,,,,No,,,,@seorganiza.artista,,0,,,
,,,https://es.artealdia.com/Convocatorias,,,,No,,,,/CONVOCATORIAS,,0,,,
Convocatorias,Convocatorias,,https://es.artealdia.com/switchlanguage/to/artealdia_com_user/Convocatorias,,,"July 31, 2024",No,,,,/SWITCHLANGUAGE/TO/ARTEALDIA_COM_USER/CONVOCATORIAS,,0,,,
6 Aniv. Open Call,,,https://www.arteinformado.com/agenda/f/6-anniversary-open-call-232778,,,,No,,,,#6 Anniversary Open Call,,0,,,
Fund. Bogliasco 2025,,,https://hipermedula.org/2024/09/becas-fundacion-bogliasco-2025/,,,,No,,,,#Becas Fundación Bogliasco 2025,,0,,,
VersionaThyssen XXI,,,https://www.arteinformado.com/agenda/f/versionathyssen-xxi-232886,,,,No,,,,#VersionaThyssen XXI,,0,,,
1er Premio Fotografía Cárnicas,"Premio de Fotografía, concurso de fotografía, fotografía",España,https://www.arteinformado.com/agenda/f/1er-premio-de-fotografia-carnicas-la-guzmana-leon-233649,,,"November 24, 2024",Yes,,,,1er Premio de Fotografía Cárnicas La Guzmana. León,Cárnicas La Guzmana,0,,,
Convocatoria Artistas Interculturales,Convocatoria Artistas Interculturales,Chile,https://app.datarte.art/convocatorias/artistas-interculturales-chile,,,"September 16, 2024",No,,,,1ra Convocatoria para Artistas Interculturales en Chile,,0,,,
2a Feria Intl Arte Capital,"Arte Capital, Exposición Internacional de Arte, Feria Internacional de Arte",México,https://www.artecapital.com.mx/,,,"October 16, 2024",No,,,,2a Feria Internacional Arte Capital,,0,,,
2da ed. R.A.R.O. Bogotá,"Residencias Artísticas, convocatoria",Colombia,https://www.arteinformado.com/agenda/f/2da-edicion-de-raro-bogota-234591,,,"December 19, 2024",Yes,,,,2da edición de R.A.R.O. Bogotá,R.A.R.O.,0,,,
Concurso Relatos Breves,"Concurso Relatos Breves, recursos culturales",Argentina,https://www.recursosculturales.com/concurso-de-relatos-breves-biblioteca-rivadavia/,,,"November 8, 2024",Yes,,,,2do Concurso de Relatos Breves de la Biblioteca Rivadavia de Trenque Lauquen,,0,,,
,"Arte en San Juan, Bienal Nacional de Dibujo, Concurso de Dibujo",,https://linktr.ee/museo_franklin_rawson,,,"September 1, 2024",No,,,,3° Bienal Nacional de Dibujo - San Juan 2024,,0,,,
Verano de nuestras vidas III,,,https://culturainquieta.com/arte/fotografia/el-verano-de-nuestras-vidas-cultura-inquieta-lanza-la-iii-edicion-de-su-concurso-de-fotografia-estival/,,,"August 27, 2024",No,,,,"3ª edición de ""El verano de nuestras vidas""",,0,,,
,,,https://www.danieletamagni.com/third-edition/,,,"August 22, 2024",No,,,,3rd Edition Daniele Tamagni Grant 2024-2025,,0,,,
7mil y pico balas,,,https://www.arteinformado.com/agenda/f/4-convocatoria-de-obra-colectiva-siete-mil-y-pico-balas-233712,,,,No,,,,4ª Convocatoria de Obra Colectiva «Siete mil y pico balas»,,0,,,
4th Annual Juried Exhibition,,,https://www.gallerium.art/p/children.html,,,"October 20, 2024",No,,,,"4th Annual Juried Exhibition: ""Children of Men 202...",,0,,,
,,,https://www.instituto-camoes.pt/sobre/comunicacao/noticias/5-residencia-literaria-flipocos-pocos-de-caldas-minas-gerais-brasil,,,,No,,,,"5.ª Residência Literária Flipoços - Poços de Caldas, Minas Gerais, Brasil - Camões - Instituto da Cooperação e da Língua",,0,,,
5° Conc. Int. Fotografía,,,https://ffiel.info/gto-bases/,,,"August 20, 2024",No,,,,5° CONCURSO INTERNACIONAL DE FOTOGRAFÍA: POSTALES ...,,0,,,
Premio Silos Fotografía,"Arte, Premio Internacional de Fotografía, exposición colectiva",España,https://www.arteinformado.com/agenda/f/6-edicion-premio-silos-de-fotografia-232045,,,"December 10, 2024",No,,,,6ª Edición Premio Silos de Fotografía,,0,,,
6th WATER Art Comp.,,,https://www.teravarna.com/water-art-competition,,,"August 2, 2024",No,,,,6th WATER International Juried Art Competition,,0,,,
,,,https://amlatina.contemporaryand.com/es/opportunities/7a-edicao-do-edital-de-concurso-folhetaria-atelie-aberto-do-ccsp/,,,,No,,,,7ª Edição do Edital de Concurso Folhetaria Ateliê Aberto do CCSP,,0,,,
7th WEA Prize 2024,,,https://www.womeninartprize.com/entertheprize,,,,No,,,,7th Annual Women's Emerging Artist Prize 2024,,0,,,
8° Conc. Abierto Pintura,"Concurso de Pintura, Convocatoria de Pintura",Argentina,https://www.fundacionfederada.org.ar/noticias/convocatoria-abierta-8-concurso-de-pintura/,,,"August 11, 2024",No,,,,8° CONCURSO ABIERTO DE PINTURA,,0,,,
"8th ""P, T & F"" Art Comp",,,https://lightspacetime.art/8th-patterns-textures-forms-art-competition-2024/,,,"August 29, 2024",No,,,,"8th Annual ""Patterns, Textures & Forms"" Online Art...",,0,,,
8th COLOR Intl Art Comp,,,https://www.teravarna.com/color-art-competition,,,"September 17, 2024",No,,,,8th COLOR International Juried Art Competition,,0,,,
9º Conc. Int. Fotografía,,,https://ffiel.info/cif-bases/,,,"August 20, 2024",No,,,,9º CONCURSO INTERNACIONAL DE FOTOGRAFÍA,,0,,,
9th Annual Landscapes Art Comp,,,https://www.fusionartps.com/9th-annual-landscapes-art-competition-2024/,,,"November 3, 2024",No,,,,9th Annual Landscapes Art Competition,,0,,,
9th Waterscapes Art Comp,,,https://www.fusionartps.com/9th-annual-waterscapes-art-competition-2024/,,,"August 3, 2024",No,,,,9th Annual Waterscapes Art Competition,,0,,,
,,,https://www.recursosculturales.com/becas-de-arte-investigacion-estudio-extranjero/,,,,No,,,,"10 Becas abiertas de arte, investigación y estudio en el extranjero",,0,,,
10ª Bienal Arte Visual Univ.,"Bienal Internacional de Arte Visual, Convocatoria de Arte Visual",,https://app.datarte.art/convocatorias/10-bienal-arte-universitario-mx,,,,No,,,,10ª Bienal Internacional de Arte Visual Universitario,,0,,,
10th Annual Figures & Faces Art Comp,,,https://www.fusionartps.com/10th-annual-figures-faces-art-competition-2024/,,,"September 3, 2024",No,,,,10th Annual Figures & Faces Art Competition,,0,,,
10th Leaves & Petals Art Comp,,,https://www.fusionartps.com/10th-annual-leaves-petals-art-competition-2024/,,,"October 2, 2024",No,,,,10th Annual Leaves & Petals Art Competition,,0,,,
Premio Fotografía Badajoz 2024,"Convocatoria de Pintura, Premio Exposición Colectiva, Premio Internacional de Fotografía",España,https://www.aytobadajoz.es/es/ayto/especiales/especial/55521/premios-ciudad-de-badajoz-2024/,,,"August 17, 2024",No,,,,11 PREMIO DE FOTOGRAFÍA CIUDAD DE BADAJOZ 2024,,0,,,
Convocatoria exposiciones,"convocatoria, exposición colectiva",España,https://www.arteinformado.com/agenda/f/11-convocatoria-para-exposiciones-individuales-o-colectivas-en-linea-233214,,,"November 30, 2024",Yes,,,,11ª convocatoria para exposiciones individuales o colectivas en línea,,0,,,
Boynes Artist Award 11th Ed.,"11th Edition, Boynes Artist Award, concurso de arte",,https://boynesartistaward.com/,,,"November 3, 2024",Yes,,,,11th Edition of Boynes Artist Award,,0,,,
11th OPEN Intl Art Comp,,,https://www.teravarna.com/open-art-competition,,,"September 2, 2024",No,,,,11th OPEN International Juried Art Competition,,0,,,
Eufònic / Lo Pati,Arte Sonoro,España,https://www.arteinformado.com/agenda/f/14-convocatoria-de-residencias-creativas-eufnic-lo-pati-234677,,Revisar,"January 8, 2025",Yes,,,,14.ª convocatoria de residencias creativas Eufònic / Lo Pati,Eufònic / Lo Pati,1,Total (https://www.notion.so/Total-1519dd874b3a8033a633f021cec697ce?pvs=21),,1
14º Conc. Pintura Rápida Lora,,,https://www.arteinformado.com/agenda/f/14-concurso-de-pintura-rapida-villa-de-lora-del-rio-manuel-urizal-2024-233411,,,,No,,,,14º Concurso de Pintura Rápida “Villa de Lora del Río – Manuel Urizal” 2024,,0,,,
14th Annual “Animals” Art Comp,,,https://lightspacetime.art/14th-annual-animals-online-art-competition-2024/,,,"September 28, 2024",No,,,,14th Annual “Animals” Online Art Competition,,0,,,
14th Nature Art Comp,"arte de la naturaleza, competencia de arte, concurso de arte en línea",Virtual,https://lightspacetime.art/14th-nature-online-art-competition-2024/,,,"November 28, 2024",Yes,,,,14th Annual “Nature” Online Art Competition,Nature,0,,,
14th Online Art Comp,"competencia de arte en línea, concurso de arte, exposición de arte",,https://lightspacetime.art/14th-annual-open-online-art-competition-2024/,,,"October 30, 2024",No,,,,14th Annual “Open” Online Art Competition,,0,,,
14th PleinAir Salon Art Comp,,,https://pleinairsalon.com/competition-rules/,,,"August 2, 2024",No,,,,14th Annual PleinAir Salon Online Art Competition,,0,,,
16th Intl Drawing Discourse,"Arte contemporáneo, Discurso Internacional de Dibujo, Exposición Internacional de Dibujo",,https://aah.unca.edu/exhibitions/drawing-discourse/16th-annual,,,"December 1, 2024",Yes,,,,16th Annual International Drawing Discourse Exhibi...,AAH UNCA,0,,,
Premio Pintura Badajoz 2024,,,:,,,"August 17, 2024",No,,,,17 Premio de Pintura Ciudad de Badajoz 2024,,0,,,
17° Ed. Arte Único,Premio de arte digital,Argentina,https://arteunico.com.ar/?fbclid=IwY2xjawGi1t9leHRuA2FlbQIxMAABHWwZHZeQdsOzd4au2JUQtNdmnhuBLAqFiX8cgEBbj2ozIYqV_uEZQFVaMQ_aem_ZRuKBhijyeoHnliZYgGkSw,,Destacar,"November 23, 2024",No,,,,"17° Edición de Arte Único ""El poder transformador ...",Arte Único,0,,,
Premio Nacional Cerámica,,,https://atece.org/ciudad-castellon-2024/,,,"September 17, 2024",No,,,,17º Premio Nacional de Cerámica Ciudad de Castelló...,,0,,,
Premio Nacional Cerámica,,,https://www.arteinformado.com/agenda/f/17-premio-nacional-de-ceramica-ciudad-de-castellon-231346,,,,No,,,,17º Premio Nacional de Cerámica Ciudad de Castellón,,0,,,
Premio Escultura Badajoz 2024,,,https://www.aytobadajoz.es/files/archivos/ayto/2024_04/18_pcdb_escultura_bases.pdf,,,"August 17, 2024",No,,,,18 PREMIO DE ESCULTURA CIUDAD DE BADAJOZ 2024,,0,,,
18th St. Local Artist,,,https://18thstreet.org/local-studio-artist/#1459807216539-455984e5-50aa,,,"December 31, 2024",No,,,,18th Street Local Artist Residency,,0,,,
Premio Pintura Paco Merino,,,https://www.pacomerino.com/bases-premio-castellano/,,,"October 2, 2024",No,,,,19º. Premio de Pintura Paco Merino,,0,,,
Arte Laguna Prize 19ª Ed.,,,https://artelagunaprize.com/terms-and-conditions-2024/,,,"August 2, 2024",No,,,,19th Edition Arte Laguna Prize,,0,,,
Tapirulan Illustrators Contest,"20ª edición, Tapirulan, concurso de ilustradores",Italia,https://illustratorscontest.tapirulan.it/en/,,,"November 12, 2024",Yes,,,,20th Edition of The Tapirulan Illustrators Contest...,,0,,,
,,,https://amlatina.contemporaryand.com/es/opportunities/21a-edicao-do-territorio-da-arte-de-araraquara/,,,,No,,,,21ª edição do Território da Arte de Araraquara,,0,,,
26as Jornadas de Conservación,,,https://hipermedula.org/2024/10/26as-jornadas-de-conservacion-de-arte-contemporaneo-museo-reina-sofia/,,,,No,,,,"26as Jornadas de Conservación de Arte Contemporáneo, Museo Reina Sofía",,0,,,
27º Premio Diario de Burgos de Pintura Rápida,Artes Visuales,,https://premiopinturarapida.diariodeburgos.es/,,,"July 1, 2024",No,,,,27º Premio Diario de Burgos de Pintura Rápida,,0,,,
28º Premio Fotografía Humanitaria,,,https://www.arteinformado.com/agenda/f/28-premio-internacional-de-fotografia-humanitaria-luis-valtuena-231800,,,,No,,,,28º Premio Internacional de Fotografía Humanitaria Luis Valtueña,,0,,,
30 Concurso Latinoamericano Fotografía,,,https://www.arteinformado.com/agenda/f/30-concurso-latinoamericano-de-fotografia-documental-los-trabajos-y-los-dias-232611,,,,No,,,,30 Concurso Latinoamericano de Fotografía Documental Los Trabajos y los Días,,0,,,
Concurso Fotográfico Caminos,"Concurso, Premio Internacional de Fotografía, exposición colectiva",España,https://www.arteinformado.com/agenda/f/32-concurso-fotografico-caminos-de-hierro-231831,,,"October 31, 2024",No,,,,32º Concurso Fotográfico Caminos de Hierro,,0,,,
Salón de otoño fotografía,,,https://www.fundacionbancaja.es/wp-content/uploads/2024/04/BASES-SALON-DE-OTONO-2024.pdf,,,,No,,,,45 Salón de otoño de fotografía,,0,,,
47º Certamen Pintura Manzanares,,,https://www.arteinformado.com/agenda/f/47-certamen-nacional-de-pintura-ciudad-de-manzanares-231814,,,,No,,,,"47º Certamen Nacional de Pintura ""Ciudad de Manzanares""",,0,,,
Salón Nacional Tucumán 51ª,,,https://hipermedula.org/2024/11/51a-edicion-del-salon-nacional-de-tucuman/,,,,No,,,,51ª edición del Salón Nacional de Tucumán.,Gob. de Tucumán,0,,,
60 Premio Reina Sofía Pintura,Premio Internacional,,https://www.arteinformado.com/agenda/f/60-premio-reina-sofia-de-pintura-y-escultura-234263,,,"January 17, 2025",Yes,,,,60 Premio Reina Sofía de Pintura y Escultura,Premio Reina Sofía,0,,,
68a Salón Manuel Belgrano,,,https://www.arteinformado.com/agenda/f/68a-salon-manuel-belgrano-234093,,,,No,,,,68a  Salón Manuel Belgrano,Salón Manuel Belgrano,0,,,
68a Salón Manuel Belgrano,,,https://www.arteinformado.com/agenda/f/68a-salon-manuel-belgrano-234093,,,,No,,,,68a Salón Manuel Belgrano,Salón Manuel Belgrano,0,,,
"69 Salón Fotografía ""Ciutat Xátiva""",,,https://afsaxativa.blogspot.com/2024/05/convocatoria-i-bases-del-69-salo-local.html,,,"October 25, 2024",No,,,,"69 Salón de Fotografía ""Ciutat de Xátiva"" 2024",,0,,,
99th Open Water Exhibition,"concurso de arte, convocatoria de exposición, exposición de arte",,https://cspwc.ca/99th-annual-open-water-exhibition-2024-call-for-entry-information/,,,"August 30, 2024",No,,,,99th Annual Open Water Exhibition 2024,,0,,,
100 West - Corsicana Artist,,,https://www.corsicanaresidency.org/apply,,,"September 3, 2024",No,,,,100 West - Corsicana Artist & Writer Residency,,0,,,
2024 Art Awards,,,https://americanartawards.com/register-to-enter-3/,,,"September 2, 2024",No,,,,2024 American Art Awards,,0,,,
2024 Fotografía Show & Venta,,,https://lodiartcenter.org/2024-annual-photography-show,,,"August 11, 2024",No,,,,2024 Annual Juried Photography Show & Sale,,0,,,
,,,https://amlatina.contemporaryand.com/es/opportunities/2024-cci-artist-fellowship/,,,,No,,,,2024 CCI Artist Fellowship,,0,,,
2024 CPA Int'l Juried Exhibit,Premio Internacional de Fotografía,Estados Unidos,https://www.photography.org/events/2024-cpa-international-juried-exhibition,,,"September 18, 2024",No,,,,2024 CPA International Juried Exhibition,,0,,,
2024 Foundwork Artist Prize,,,https://www.arteinformado.com/agenda/f/2024-foundwork-artist-prize-232048,,,,No,,,,2024 Foundwork Artist Prize,,0,,,
Comp. Internac. Ilustración 2024,,,https://www.artonclimate.com/en,,,"August 2, 2024",No,,,,"2024 International Illustration Competition ""Art o...",,0,,,
LUCIE SCHOLARSHIP,,,https://www.luciefoundation.org/programs/scholarship/,,,"September 2, 2024",No,,,,2024 LUCIE SCHOLARSHIP PROGRAM,,0,,,
2024 NHACC Photo Cntst,,,:,,,"September 21, 2024",No,,,,2024 NHACC Photo Contest,,0,,,
,,,https://hilo.hawaii.edu/depts/art/psbn-2024/,,,"August 20, 2024",No,,,,2024 Pacific States Biennial North American Juried...,,0,,,
,"Arte, Concurso, Premio Internacional de Fotografía",Francia,https://aperture.org/calls-for-entry/photobook-awards/,,,"September 6, 2024",No,,,,2024 Paris Photo–Aperture PhotoBook Awards,,0,,,
VI Premio ATC Impulsa,,,https://atece.org/impulsa-2024/,,,"October 13, 2024",No,,,,2024 VI PREMIO ATC IMPULSA,,0,,,
Colores de Seducción 2025,Exposición de Arte Erótico,,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fdocs.google.com%2Fforms%2Fd%2Fe%2F1FAIpQLSdqHvqQkhTpccYCeHShV5QdtBSXNwJUETVA6bzRnGTMFs-6Aw%2Fviewform&followup=https%3A%2F%2Fdocs.google.com%2Fforms%2Fd%2Fe%2F1FAIpQLSdqHvqQkhTpccYCeHShV5QdtBSXNwJUETVA6bzRnGTMFs-6Aw%2Fviewform&ifkv=ARpgrqd7QO6sJFO0PrAoxuvOd00_-mNTAV8lCObUed1RfkCpN1f7Kt2MGjhJG6S9e2-QdHqa0j7Yww&ltmpl=forms&osid=1&passive=1209600&service=wise&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1091441593%3A1729205541907447,,,"November 16, 2024",No,,,,"2025 ""Colors of Seduction Erotic Art Exhibit"" in P...",,0,,,
Artistas 2025,"Residencia para artistas, oportunidad para artistas, programa de residencia",Francia,https://maisondoramaar.org/how-to-apply/,,,"October 17, 2024",No,,,,2025 Artists Residency Program,,0,,,
2025 EXHIBIT,Artes Visuales,Estados Unidos,https://www.embracingourdifferences.org/submit-art-2025-exhibit/,,,"July 2, 2024",No,,,,2025 EXHIBIT,,0,,,
Artista en 2025,,,https://bemis.slideroom.com/#/login/program/76997,,,"August 3, 2024",No,,,,2025 Fall Artist-in-Residence Open Call,,0,,,
,,,https://www.bemiscenter.org/residency/artists-in-residence,,,"October 3, 2024",No,,,,2025 Fall Artist-in-Residence Open Call September ...,,0,,,
,,,https://willapabayair.org/,,,"September 2, 2024",No,,,,2025 RESIDENCIES,,0,,,
La Nueva Fábrica 2025-2026,"Residencia para artistas, oportunidad para artistas, programa de residencia",,https://www.arteinformado.com/agenda/f/2025-2026-residency-program-at-la-nueva-fabrica-233914,,,"November 24, 2024",Yes,,,,2025-2026 Residency Program at La Nueva Fábrica,La Nueva Fábrica,0,,,
Show of Heads,,,https://www.slowart.com/prospectus/head.htm,,,"August 2, 2024",No,,,,A Show of Heads,,0,,,
,fotografía,,https://www.sec4p.com/abandoned24-prospectus,,,"July 1, 2024",No,,,,Abandoned,,0,,,
Premio Lit. Infantojuvenil Manuel Lopes,Prêmio Literário Infantojuvenil Manuel Lopes,,https://imprensanacional.pt/abertas-candidaturas-ao-premio-literario-infantojuvenil-manuel-lopes/,,,"June 30, 2024",No,,,,Abertas candidaturas ao Prémio Literário Infantojuvenil Manuel Lopes - Imprensa Nacional,,0,,,
Concurso Figurativas 2025,,,https://www.recursosculturales.com/concurso-figurativas-pintura-escultura/,,,,No,,,,Abierta la convocatoria al concurso Figurativas 2025 de pintura y escultura,,0,,,
Premio Joves Creadores,,,https://www.recursosculturales.com/premio-joves-creadores/,,,,No,,,,Abierta la convocatoria de cortometrajes Premio Joves Creadores,Joves Creadores,0,,,
Exhibición Fotográfica,,,https://www.theartcenterdover.com/index.php,,,"August 20, 2024",No,,,,Across America - Photography Exhibition,,0,,,
Actividades Performáticas,,,https://hipermedula.org/2024/08/actividades-performaticas-para-combatir-la-depresion/,,,,No,,,,Actividades Performáticas para Combatir la Depresión,,0,,,
AES Art Emergente 2024,,,https://www.arteinformado.com/agenda/f/aes-art-emergent-sabadell-2024-234040,,Rev,,No,,,,"AES, Art Emergent Sabadell 2024",AES,0,,,
AGAC 2024: Desata tu Creatividad,,,https://artigallery.co.za/pages/agac-2024-unleash-your-creativity,,,"October 1, 2024",No,,,,AGAC 2024: Unleash Your Creativity,,0,,,
AI-AP – Fotografía 2025,"Arte Digital, Premio Internacional de Fotografía, fotografía",EEUU,https://www.recursosculturales.com/american-photography-and-ilustracion/,,,"February 7, 2025",Yes,,,,AI-AP – American Photography abre convocatoria 2025,AI-AP,0,,,
Airtable App Platf,,,https://airtable.com/applAz0v45rKFqFqN/pagCNn9tEX2OPfGVl/form,,,,No,,,,Airtable | Everyone's app platform,,0,,,
Comp. Int. de Diseño 2024-25,,,https://www.arteinformado.com/agenda/f/amadeus-international-design-competition-2024-2025-232279,,,,No,,,,Amadeus International Design Competition 2024-2025,,0,,,
Premio Literario Kindle 2024,Premio Literario,Iberoamérica,https://www.recursosculturales.com/premio-literario-amazon-kindle-storyteller/,,,"August 31, 2024",No,,,,Amazon convoca al Premio Literario Kindle Storyteller 2024,,0,,,
"Amazónica, artistas en la selva",,,https://www.recursosculturales.com/amazonica-artists-in-residence/,,,,No,,,,"Amazónica, residencia de artistas en la selva amazónica de Perú",,0,,,
,"Residencia en Perú, programa de residencia, residencia artística",,https://app.datarte.art/convocatorias/residencia-iquitos-2025,,,"September 30, 2024",No,,,,AMAZÓNICA: Residencia en Perú,,0,,,
AMS Weather Band Photo Contest,,,https://amsweatherband.org/index.cfm/weatherband/weather-band-photo-contest/,,,"September 1, 2024",No,,,,AMS Weather Band Photo Contest 2024,,0,,,
CHAMADA PÚBLICA BRDE/FSA - COPRODUÇÃO BRASIL – PORTUGAL 2024,,,https://www.instagram.com/p/C7FgVU-rDbS/?img_index=1,,,,No,,,,"ANCINE - Agência Nacional do Cinema on Instagram: ""O Ministério da Cultura - MinC e a Agência Nacional do Cinema - ANCINE anunciam o lançamento da CHAMADA PÚBLICA BRDE/FSA - COPRODUÇÃO BRASIL – PORTUGAL 2024.
 
A Chamada seleciona projetos de filmes de produção independente dos tipos ficção, documentário e animação, realizados em regime de coprodução internacional com Portugal, no qual produtoras brasileiras independentes participem na qualidade de coprodutoras minoritárias. 
As inscrições ficam abertas de 16 de maio a 25 de julho.
 
O Edital e seus anexos podem ser acessados no endereço eletrônico www.brde.com.br/fsa.""",,0,,,
Andy Rocchelli Grant,"Premio Internacional, Residencia para artistas, oportunidad para artistas",Italia,https://www.cesura.it/andy-rocchelli-grant/,,,"October 17, 2024",No,,,,Andy Rocchelli Grant,,0,,,
Anthology Art Comp 2024,"competencia de arte, concurso de arte, premio de arte",,https://anthology-magazine.com/awards/cover-art-competition/,,,"November 1, 2024",Yes,,,,Anthology Art Competition 2024,,0,,,
Anthology Photo Comp 2024,"Premio Internacional de Fotografía, concurso de fotografía, exposición colectiva",,https://anthology-magazine.com/awards/photo-competition/,,,"December 1, 2024",No,,,,Anthology Photography Competition 2024,,0,,,
Antología Benéfica Discatopía,,,https://www.recursosculturales.com/antologia-benefica-discatopia/,,,,No,,,,Antología Benéfica «Discatopía» 24/25,Antología Benéfica,0,,,
AIMA Projetos 2024,,,https://projetos.aima.gov.pt/announcements/11?ref=dnbrasil.dn.pt,,,,No,,,,ANÚNCIO N.º 1/PAAI/2024 - AIMA Projetos,,0,,,
Apapacho Artística CDMX,residencia artística,México,https://www.recursosculturales.com/apapacho-residencia-artistica-en-cdmx/,,,"December 31, 2024",Yes,,,,APAPACHO | Residencia Artística en CDMX,Residencia Artística en CDMX,0,,,
Convocatoria Fragmentos,convocatoria,Colombia,https://hipermedula.org/2024/06/apertura-convocatoria-fragmentos/,,,"October 1, 2024",No,,,,Apertura Convocatoria Fragmentos,,0,,,
Aperture Portfolio Prize,"Premio Internacional de Fotografía, convocatoria, fotografía",Múltiples Países,https://www.recursosculturales.com/aperture-portfolio-prize/,,,"January 10, 2025",Yes,,,,Aperture Portfolio Prize abre convocatoria para nuevos talentos en fotografía,Aperture,0,,,
Apexart Open Calls 2025-26,"Convocatoria Apexart, Open Call Apexart",EEUU,https://hipermedula.org/2024/10/apexarts-open-calls-2025-2026/,,,"October 31, 2024",No,,,,Apexart’s Open Calls 2025-2026,,0,,,
,,,https://gulbenkian.pt/apoios-lista/apoio-a-circulacao-internacional/,,,,No,,,,Apoio à Internacionalização,,0,,,
Archive,,,https://gulbenkian.pt/apoios-lista/,,,,No,,,,Apoios Archive,,0,,,
,,,https://gulbenkian.pt/apoios-lista/,,,,No,,,,Apoios Arquivo – Fundação Calouste Gulbenkian,,0,,,
Apoyo a la Creación '24. Producción,,,https://fundacionlacaixa.org/es/apoyo-creacion-produccion,,,,No,,,,Apoyo a la Creación '24. Producción,,0,,,
Preservación Patrimonio AV 2024,Patrimonio,Chile,https://hipermedula.org/2024/06/apoyo-a-la-preservacion-del-patrimonio-audiovisual-2024/,,,"July 8, 2024",No,,,,Apoyo a la Preservación del Patrimonio Audiovisual 2024,,0,,,
Apoyo a la producción artística CCEBA,Artistas,Múltiples destinos,https://www.revistamagenta.com/apoyo-a-la-produccion-artistica-cceba/,CCEBA (Centro Cultural de España en Buenos Aires),Artistas,"March 25, 2024",No,"-34.6037, -58.3816",-34.6037,-58.3816,Apoyo a la producción artística CCEBA,,0,,,
Puntos Cultura 2024,,,https://www.recursosculturales.com/financiamiento-iniciativas-culturales-comunitarias/,,,,No,,,,Apoyo a Puntos de Cultura Comunitaria 2024 – Línea de Proyectos Socioculturales (Chile),,0,,,
Teatro Com.,,,https://www.recursosculturales.com/subsidios-instituto-nacional-del-teatro/,,,,No,,,,Apoyos para teatro comunitario del Instituto Nacional del Teatro,Instituto Nacional del Teatro,0,,,
Eden Hope Artist,Residencia para artistas,Australia,https://edenhopeartistresidency.com.au/,,,"July 29, 2024",No,,,,Applications Open Now,,0,,,
,,,https://www.restarteurope.org/,,,,No,,,,Are you a Mentor? The Mentor Capacity Building Program and Handbook is for you !,,0,,,
Arica Nativa Wawa,"cine infantil, convocatoria de cine, películas para niños",,https://www.recursosculturales.com/arica-nativa-wawa/,,,"October 6, 2024",No,,,,"Arica Nativa convoca a Wawa, para películas creadas por niñas, niños y adolescentes",,0,,,
